Medicine, Cost, Composition, Dosage
Atorvastatin,57, Fluoxetine Hydrochloride, 4-8mg once/day
Chlorpromazine,32, Lisinopril Dihydrate, 5-10mg once/day
Valsartan,54, Nateglinide, 40mg once/day
Baclofen,25, Gabapentin, 500mg every 4-6 hours (up to 4g/day)
Irbesartan,61, Pregabalin, 10-80mg 2-3 times/day
Ziprasidone,37, Lamotrigine, 6.25-50mg 2-3 times/day
Felodipine,55, Voglibose, 10-20mg once/day
Atorvastatin,68, Amoxicillin Trihydrate, 5-30mg once/day
Lamotrigine,78, Captopril, 0.5-2mg 2-3 times/day
Amoxicillin,43, Trazodone Hydrochloride, 75-300mg once/day
Clonazepam,51, Benazepril Hydrochloride, 12.5-150mg 3 times/day
Losartan,61, Hydrochlorothiazide, 2.5-10mg once/day
Losartan,30, Lisinopril Dihydrate, 5-10mg once/day
Miglitol,37, Duloxetine Hydrochloride, 150-300mg once/day
Pantoprazole,35, Furosemide, 10-80mg 2-3 times/day
Ranitidine,61, Aripiprazole, 40-320mg once/day
Telmisartan,73, Trazodone Hydrochloride, 325-650mg every 4-6 hours (up to 4g/day)
Nisoldipine,51, Pioglitazone Hydrochloride, 600-1800mg/day
Felodipine,56, Simvastatin, 2.5-20mg once/day
Donepezil,50, Donepezil Hydrochloride, 2.5-20mg once/day with meal
Risperidone,98, Haloperidol, 25-800mg/day
Valsartan,59, Baclofen, 6-12mg once/day
Candesartan,53, Amlodipine Besylate, 5-40mg once/day
Losartan,51, Venlafaxine Hydrochloride, 30-120mg 2-3 times/day
Glyburide,43, Cetirizine Hydrochloride, 10mg once/day
Donepezil,86, Ramipril, 5-30mg once/day
Lisinopril,30, Fluphenazine Decanoate, 10-40mg once/day
Repaglinide,39, Voglibose, 40-320mg once/day
Lisinopril,58, Enalapril Maleate, 1-4mg once/day
Doxycycline,87, Duloxetine Hydrochloride, 10-30mg 2-3 times/day
Lisinopril,44, Simvastatin, 2.5-20mg once/day
Benazepril,48, Venlafaxine Hydrochloride, 10-30mg 2-3 times/day
Lercanidipine,56, Aripiprazole, 10-30mg 2-3 times/day
Rosiglitazone,55, Enalapril Maleate, 500mg every 4-6 hours (up to 4g/day)
Captopril,72, Metoprolol Tartrate, 10-80mg 2-3 times/day
Duloxetine,55, Alprazolam, 25-800mg/day
Glimepiride,77, Thioridazine Hydrochloride, 10-80mg once/day
Atorvastatin,45, Ziprasidone Hydrochloride, 5-10mg once/day
Ibuprofen,66, Donepezil Hydrochloride, 500-3000mg/day
Pantoprazole,62, Pregabalin, 1-4mg once/day
Clopidogrel,71, Duloxetine Hydrochloride, 12.5-150mg 3 times/day
Repaglinide,57, Nisoldipine, 75-300mg once/day
Lercanidipine,67, Donepezil Hydrochloride, 20-80mg once/day
Levothyroxine,76, Thioridazine Hydrochloride, 12.5-150mg 3 times/day
Metformin,52, Carvedilol, 10-80mg 2-3 times/day
Paliperidone,62, Voglibose, 10mg once/day
Nifedipine,74, Duloxetine Hydrochloride, 10-20mg once/day
Donepezil,44, Ranitidine Hydrochloride, 6.25-50mg 2-3 times/day
Miglitol,45, Montelukast Sodium, 500mg on day 1 followed by 250mg once/day for 4 days
Diltiazem,99, Metformin Hydrochloride, 2-6mg once/day
Carvedilol,54, Fluphenazine Decanoate, 500mg every 4-6 hours (up to 4g/day)
Losartan,60, Acarbose, 40-160mg once/day
Olanzapine,10, Lithium Carbonate, 5-10mg once/day
Ibuprofen,58, Acetaminophen, 0.5-2mg 2-3 times/day
Telmisartan,67, Clopidogrel Bisulfate, 10-40mg once/day
Doxycycline,42, Lisinopril, 5-30mg once/day
Rosiglitazone,59, Fluphenazine Decanoate, 5-30mg once/day
Enalapril,65, Trazodone Hydrochloride, 2.5-20mg once/day with meal
Simvastatin,72, Candesartan Cilexetil, 5-10mg once/day
Venlafaxine,32, Diltiazem Hydrochloride, 0.2-0.3g before each meal
Voglibose,76, Montelukast Sodium, 25-800mg once/day
Metformin,85, Glibenclamide, 75mg once/day
Donepezil,19, Valproic Acid, 500mg every 4-6 hours (up to 4g/day)
Lisinopril,30, Carvedilol, 10-40mg once/day
Aspirin,78, Glimepiride, 40mg once/day
Captopril,72, Lisinopril, 25-100mg once/day
Amoxicillin,57, Omeprazole, 40-60mg once/day
Azithromycin,62, Ramipril, 2.5-10mg once/day
Verapamil,70, Pioglitazone Hydrochloride, 15-45mg once/day
Valsartan,70, Losartan Potassium, 6-12mg once/day
Ranitidine,13, Metoprolol Tartrate, 5-10mg 2-3 times/day
Paracetamol,43, Cetirizine Hydrochloride, 25-800mg/day
Glyburide,48, Levothyroxine Sodium, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Cetirizine,27, Aripiprazole, 5-10mg 2-3 times/day
Propranolol,71, Lithium Carbonate, 2.5-20mg once/day with meal
Procardia,55, Risperidone, 10-80mg once/day
Lisinopril,51, Pregabalin, 400-600mg every 4-6 hours (up to 3.2g/day)
Cetirizine,76, Glimepiride, 2.5-10mg once/day
Nisoldipine,63, Rosiglitazone Maleate, 2.5-30mg once every 2-4 weeks
Rosiglitazone,21, Propranolol Hydrochloride, 600-1800mg/day
Lisinopril,48, Doxycycline Hyclate, 5-10mg 2-3 times/day
Captopril,39, Acetylsalicylic Acid, 10-30mg 2-3 times/day
Candesartan,74, Gabapentin, 0.5-2mg 2-3 times/day
Nifedipine,17, Atorvastatin Calcium, 40-320mg once/day
Thioridazine,83, Trazodone Hydrochloride, 6.25-50mg 2-3 times/day
Rosiglitazone,46, Acetaminophen, 10mg once/day
Fluphenazine,48, Amlodipine Besylate, 300-1200mg 3 times/day
Olanzapine,40, Irbesartan, 5-20mg once/day
Verapamil,78, Repaglinide, 50-450mg 2-3 times/day
Rosiglitazone,62, Omeprazole, 15-45mg once/day
Glibenclamide,40, Lamotrigine, 80-120mg 2-3 times/day
Quetiapine,31, Fluoxetine Hydrochloride, 12.5-150mg 3 times/day
Losartan,66, Glimepiride, 25-500mg once/day
Doxycycline,51, Fluphenazine Decanoate, 2.5-30mg once every 2-4 weeks
Lamotrigine,57, Candesartan Cilexetil, 2-6mg once/day
Enalapril,65, Nifedipine, 500mg every 4-6 hours (up to 4g/day)
Haloperidol,76, Lisinopril Dihydrate, 8-32mg once/day
Clopidogrel,66, Thioridazine Hydrochloride, 12.5-150mg 3 times/day
Lisinopril,71, Lisinopril Dihydrate, 150-300mg 2-3 times/day
Montelukast,54, Ibuprofen, 75mg once/day
Pregabalin,68, Repaglinide, 6-12mg once/day
Telmisartan,70, Felodipine, 80-120mg 2-3 times/day
Donepezil,45, Isradipine, 600-1800mg/day
Felodipine,55, Cetirizine Hydrochloride, 500-2000mg/day
Aripiprazole,61, Donepezil Hydrochloride, 12.5-150mg 3 times/day
Metformin,49, Carvedilol, 40-60mg once/day
Duloxetine,22, Enalapril Maleate, 40mg once/day
Metformin,56, Glyburide, 25-100mg once/day
Haloperidol,28, Fluoxetine Hydrochloride, 15-45mg once/day
Baclofen,52, Captopril, 5-40mg once/day
Ziprasidone,83, Simvastatin, 2-6mg once/day
Furosemide,72, Benazepril Hydrochloride, 6.25-50mg 2-3 times/day
Metformin,75, Losartan Potassium, 25-800mg/day
Captopril,51, Valproic Acid, 150-300mg 2-3 times/day
Furosemide,17, Valproic Acid, 25-500mg once/day
Furosemide,42, Clonazepam, 2.5-20mg once/day with meal
Verapamil,59, Nifedipine, 500-2000mg/day
Furosemide,39, Pioglitazone Hydrochloride, 150-300mg 2-3 times/day
Pioglitazone,47, Gabapentin, 10-30mg 2-3 times/day
Amoxicillin,43, Glimepiride, 80-120mg 2-3 times/day
Voglibose,85, Benazepril Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Paracetamol,32, Lercanidipine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Amlodipine,30, Captopril, 500-2000mg/day
Amlodipine,75, Aripiprazole, 75mg once/day
Repaglinide,55, Losartan Potassium, 0.2-0.3g before each meal
Verapamil,86, Aripiprazole, 25-100mg once/day
Lithium Carbonate,68, Paliperidone, 75-300mg once/day
Verapamil,53, Gabapentin, 25-500mg once/day
Verapamil,66, Amlodipine Besylate, 5-20mg once/day
Montelukast,77, Ramipril, 150-300mg 2-3 times/day
Glibenclamide,74, Quetiapine Fumarate, 4-8mg once/day
Propranolol,32, Benazepril Hydrochloride, 10-80mg once/day
Repaglinide,41, Ziprasidone Hydrochloride, 25-500mg once/day
Hydrochlorothiazide,34, Candesartan Cilexetil, 5-10mg once/day
Losartan,41, Donepezil Hydrochloride, 2.5-10mg once/day
Paliperidone,22, Thioridazine Hydrochloride, 500-3000mg/day
Venlafaxine,55, Valproic Acid, 500mg every 4-6 hours (up to 4g/day)
Verapamil,101, Nateglinide, 50-450mg 2-3 times/day
Enalapril,72, Nifedipine, 300-1200mg 3 times/day
Adalat,57, Verapamil Hydrochloride, 5-10mg once/day
Risperidone,43, Clopidogrel Bisulfate, 150-300mg 2-3 times/day
Alprazolam,79, Amoxicillin Trihydrate, 500mg every 4-6 hours (up to 4g/day)
Lamotrigine,64, Pantoprazole Sodium, 25-100mg before each meal
Pregabalin,84, Lamotrigine, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Clopidogrel,53, Verapamil Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Ranitidine,88, Valproic Acid, 25-500mg once/day
Metformin,51, Doxycycline Hyclate, 10mg once/day
Lithium Carbonate,41, Nisoldipine, 10-40mg once/day
Metformin,38, Benazepril Hydrochloride, 10mg once/day
Glibenclamide,60, Azithromycin, 40-160mg once/day
Miglitol,105, Nateglinide, 5-10mg once/day
Simvastatin,58, Repaglinide, 10mg once/day
Venlafaxine,50, Warfarin Sodium, 8-32mg once/day
Clopidogrel,53, Amlodipine Besylate, 5-10mg once/day
Benazepril,66, Clopidogrel Bisulfate, 10-30mg 2-3 times/day
Miglitol,64, Carvedilol, 25-500mg once/day
Ranitidine,71, Clonazepam, 5-10mg once/day
Lercanidipine,70, Nifedipine, 0.25-2mg 2-3 times/day
Adalat,97, Montelukast Sodium, 500mg every 4-6 hours (up to 4g/day)
Donepezil,50, Venlafaxine Hydrochloride, 40-160mg once/day
Montelukast,65, Lisinopril, 80-120mg 2-3 times/day
Nisoldipine,40, Lamotrigine, 2.5-20mg once/day
Lisinopril,19, Clonazepam, 150-300mg 2-3 times/day
Aripiprazole,55, Voglibose, 150-300mg 2-3 times/day
Gabapentin,36, Felodipine, 25-800mg/day
Pregabalin,91, Hydrochlorothiazide, 10-40mg once/day
Venlafaxine,80, Pantoprazole Sodium, 25-200mcg once/day
Lisinopril,42, Verapamil Hydrochloride, 0.2-0.3g before each meal
Ziprasidone,61, Benazepril Hydrochloride, 5-10mg once/day
Olanzapine,74, Haloperidol, 2.5-30mg once every 2-4 weeks
Repaglinide,90, Metoprolol Tartrate, 37.5-225mg once/day
Lisinopril,53, Lisinopril, 40-320mg once/day
Propranolol,99, Donepezil Hydrochloride, 75-150mg 2-3 times/day
Azithromycin,58, Acetylsalicylic Acid, 40-160mg once/day
Propranolol,64, Nateglinide, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Repaglinide,49, Baclofen, 500mg every 4-6 hours (up to 4g/day)
Olanzapine,73, Rosiglitazone Maleate, 500mg every 4-6 hours (up to 4g/day)
Aspirin,34, Aripiprazole, 325-650mg every 4-6 hours (up to 4g/day)
Chlorpromazine,12, Ranitidine Hydrochloride, 0.5-2mg 2-3 times/day
Ziprasidone,45, Ranitidine Hydrochloride, 25-100mg once/day
Procardia,36, Levothyroxine Sodium, 37.5-225mg once/day
Gabapentin,43, Miglitol, 400-600mg every 4-6 hours (up to 3.2g/day)
Diltiazem,62, Benazepril Hydrochloride, 2-6mg once/day
Metformin,33, Miglitol, 20-80mg once/day
Paracetamol,50, Furosemide, 40-320mg 2-3 times/day
Lamotrigine,39, Carvedilol, 0.25-2mg 2-3 times/day
Glibenclamide,32, Felodipine, 6-12mg once/day
Risperidone,71, Azithromycin, 10-80mg once/day
Benazepril,61, Telmisartan, 6-12mg once/day
Cetirizine,55, Lercanidipine Hydrochloride, 10-80mg 2-3 times/day
Repaglinide,64, Azithromycin, 40-320mg once/day
Lamotrigine,79, Gabapentin, 10-40mg once/day
Enalapril,69, Ramipril, 100mg every 12 hours (up to 200mg/day)
Metformin,14, Telmisartan, 1-100mg/day
Lercanidipine,53, Metformin Hydrochloride, 10mg once/day
Pantoprazole,28, Paliperidone, 150-300mg once/day
Lamotrigine,56, Rosiglitazone Maleate, 12.5-150mg 3 times/day
Atorvastatin,39, Metformin Hydrochloride, 10-20mg once/day
Candesartan,95, Ranitidine Hydrochloride, 20-80mg once/day
Haloperidol,70, Duloxetine Hydrochloride, 5-10mg once/day
Venlafaxine,74, Cetirizine Hydrochloride, 4-8mg once/day
Miglitol,82, Doxycycline Hyclate, 10-80mg once/day
Acarbose,70, Valsartan, 75mg once/day
Doxycycline,72, Metformin Hydrochloride, 10-30mg 2-3 times/day
Repaglinide,63, Atorvastatin Calcium, 50-450mg 2-3 times/day
Clopidogrel,52, Lisinopril, 75-300mg once/day
Donepezil,76, Venlafaxine Hydrochloride, 10-30mg 2-3 times/day
Miglitol,52, Ranitidine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Glimepiride,56, Metformin Hydrochloride, 75mg once/day
Paliperidone,36, Venlafaxine Hydrochloride, 120mg before each meal
Thioridazine,62, Felodipine, 500mg every 4-6 hours (up to 4g/day)
Propranolol,47, Furosemide, 500mg every 4-6 hours (up to 4g/day)
Ziprasidone,66, Atorvastatin Calcium, 6.25-50mg 2-3 times/day
Candesartan,74, Risperidone, 5-10mg once/day
Lisinopril,46, Simvastatin, 25-500mg once/day
Pregabalin,49, Irbesartan, 40-160mg once/day
Donepezil,72, Omeprazole, 75-150mg 2-3 times/day
Propranolol,51, Benazepril Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Ramipril,63, Pioglitazone Hydrochloride, 80-120mg 2-3 times/day
Furosemide,41, Captopril, 40-60mg once/day
Repaglinide,53, Haloperidol, 8-32mg once/day
Duloxetine,60, Ramipril, 2.5-10mg once/day
Metformin,57, Pregabalin, 0.25-2mg 2-3 times/day
Amlodipine,31, Alprazolam, 80-120mg 2-3 times/day
Enalapril,45, Clopidogrel Bisulfate, 100mg every 12 hours (up to 200mg/day)
Hydrochlorothiazide,74, Nateglinide, 150-300mg 2-3 times/day
Miglitol,79, Azithromycin, 10-20mg once/day
Furosemide,53, Losartan Potassium, 500mg every 4-6 hours (up to 4g/day)
Aripiprazole,72, Amoxicillin Trihydrate, 2.5-20mg once/day
Metformin,69, Glimepiride, 10-80mg once/day
Atorvastatin,14, Candesartan Cilexetil, 500mg on day 1 followed by 250mg once/day for 4 days
Propranolol,80, Omeprazole, 10-80mg once/day
Carvedilol,47, Ramipril, 2.5-20mg once/day with meal
Haloperidol,69, Pantoprazole Sodium, 2.5-20mg once/day with meal
Montelukast,64, Lercanidipine Hydrochloride, 2-6mg once/day
Carvedilol,51, Lithium Carbonate, 150-300mg once/day
Carvedilol,21, Losartan Potassium, 500mg every 4-6 hours (up to 4g/day)
Plendil,67, Valsartan, 10-80mg once/day
Lisinopril,52, Haloperidol, 4-8mg once/day
Lisinopril,20, Valproic Acid, 5-20mg once/day
Glibenclamide,35, Losartan Potassium, 6-12mg once/day
Furosemide,49, Doxycycline Hyclate, 0.25-2mg 2-3 times/day
Benazepril,62, Valsartan, 37.5-225mg once/day
Simvastatin,53, Acetaminophen, 400-600mg every 4-6 hours (up to 3.2g/day)
Valproic Acid,58, Isradipine, 4-8mg once/day
Nisoldipine,76, Enalapril Maleate, 500mg every 4-6 hours (up to 4g/day)
Verapamil,63, Diltiazem Hydrochloride, 40-320mg 2-3 times/day
Alprazolam,61, Captopril, 0.25-2mg 2-3 times/day
Nisoldipine,42, Benazepril Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Haloperidol,25, Lercanidipine Hydrochloride, 2.5-20mg once/day
Glyburide,53, Lisinopril Dihydrate, 12.5-150mg 3 times/day
Lercanidipine,78, Diltiazem Hydrochloride, 0.2-0.3g before each meal
Adalat,59, Gabapentin, 5-10mg once/day
Lercanidipine,59, Lisinopril Dihydrate, 150-300mg once/day
Duloxetine,65, Lisinopril Dihydrate, 25-1000mg/day
Metformin,44, Captopril, 400-600mg every 4-6 hours (up to 3.2g/day)
Rosiglitazone,22, Glibenclamide, 10-80mg once/day
Pregabalin,66, Lercanidipine Hydrochloride, 5-40mg once/day
Trazodone,67, Repaglinide, 75mg once/day
Metformin,22, Trazodone Hydrochloride, 10mg once/day
Repaglinide,89, Telmisartan, 2.5-30mg once every 2-4 weeks
Lercanidipine,28, Captopril, 2.5-20mg once/day
Glibenclamide,88, Alprazolam, 40-60mg once/day
Lisinopril,10, Lisinopril, 5-10mg 2-3 times/day
Lercanidipine,56, Nateglinide, 300-1200mg 3 times/day
Thioridazine,65, Verapamil Hydrochloride, 20mg once/day
Glibenclamide,40, Amoxicillin Trihydrate, 2-6mg once/day
Ramipril,78, Enalapril Maleate, 150-300mg once/day
Paracetamol,46, Cetirizine Hydrochloride, 250-500mg every 8 hours (up to 3g/day)
Clopidogrel,78, Isradipine, 20-80mg once/day
Glibenclamide,39, Nisoldipine, 500-1000mg 2-3 times/day with meals (up to 2.5g/day)
Doxycycline,44, Enalapril Maleate, 2.5-20mg once/day
Duloxetine,52, Amlodipine Besylate, 5-10mg once/day
Metformin,99, Enalapril Maleate, 25-100mg before each meal
Quetiapine,76, Glyburide, 75-150mg 2-3 times/day
Azithromycin,67, Captopril, 2-6mg once/day
Glibenclamide,31, Hydrochlorothiazide, 1-4mg once/day
Hydrochlorothiazide,48, Isradipine, 500mg every 4-6 hours (up to 4g/day)
Montelukast,65, Paliperidone, 30-120mg 2-3 times/day
Telmisartan,46, Fluphenazine Decanoate, 40-320mg 2-3 times/day
Enalapril,52, Rosiglitazone Maleate, 600-1800mg/day
Pioglitazone,47, Glyburide, 4-8mg once/day
Isradipine,61, Acetylsalicylic Acid, 500-3000mg/day
Metformin,58, Nateglinide, 5-10mg once/day
Glimepiride,43, Simvastatin, 5-20mg once/day
Clopidogrel,36, Simvastatin, 2.5-20mg once/day
Amoxicillin,33, Diltiazem Hydrochloride, 150-300mg once/day
Metformin,31, Doxycycline Hyclate, 30-120mg 2-3 times/day
Enalapril,53, Nifedipine, 10-30mg 2-3 times/day
Nifedipine,98, Metformin Hydrochloride, 2-6mg once/day
Ranitidine,48, Benazepril Hydrochloride, 10mg once/day
Ramipril,78, Lercanidipine Hydrochloride, 8-32mg once/day
Venlafaxine,53, Ziprasidone Hydrochloride, 5-10mg once/day
Pregabalin,22, Rosiglitazone Maleate, 12.5-150mg 3 times/day
Levothyroxine,47, Ranitidine Hydrochloride, 250-500mg every 8 hours (up to 3g/day)
Simvastatin,72, Fluoxetine Hydrochloride, 30-120mg 2-3 times/day
Simvastatin,44, Felodipine, 5-30mg once/day
Diltiazem,63, Acetylsalicylic Acid, 0.2-0.3g before each meal
Baclofen,63, Risperidone, 40-60mg once/day
Azithromycin,60, Acetylsalicylic Acid, 8-32mg once/day
Venlafaxine,58, Acetaminophen, 12.5-25mg once/day
Metoprolol,71, Ibuprofen, 20-80mg once/day
Paliperidone,15, Carvedilol, 10-80mg 2-3 times/day
Atorvastatin,55, Losartan Potassium, 10-30mg 2-3 times/day
Nateglinide,72, Venlafaxine Hydrochloride, 6-12mg once/day
Lisinopril,73, Rosiglitazone Maleate, 10-80mg once/day
Nisoldipine,84, Alprazolam, 30-120mg 2-3 times/day
Baclofen,50, Lisinopril Dihydrate, 6.25-50mg 2-3 times/day
Miglitol,51, Lamotrigine, 250-500mg every 8 hours (up to 3g/day)
Telmisartan,59, Duloxetine Hydrochloride, 0.2-0.3g before each meal
Procardia,82, Nifedipine, 10mg once/day
Venlafaxine,39, Nifedipine, 10mg once/day
Nifedipine,57, Warfarin Sodium, 25-200mcg once/day
Haloperidol,47, Glyburide, 40mg once/day
Pregabalin,80, Chlorpromazine Hydrochloride, 37.5-225mg once/day
Plendil,47, Ibuprofen, 10mg once/day
Amlodipine,74, Ramipril, 500mg every 4-6 hours (up to 4g/day)
Rosiglitazone,72, Lercanidipine Hydrochloride, 37.5-225mg once/day
Captopril,60, Clopidogrel Bisulfate, 10-30mg 2-3 times/day
Isradipine,37, Glyburide, 500mg every 4-6 hours (up to 4g/day)
Ramipril,65, Acarbose, 500mg every 4-6 hours (up to 4g/day)
Lercanidipine,53, Amlodipine Besylate, 5-10mg once/day
Venlafaxine,52, Levothyroxine Sodium, 6-12mg once/day
Miglitol,26, Ibuprofen, 120mg before each meal
Losartan,53, Furosemide, 500mg every 4-6 hours (up to 4g/day)
Paracetamol,45, Amlodipine Besylate, 5-10mg once/day
Venlafaxine,21, Simvastatin, 10-40mg once/day
Metformin,35, Valsartan, 20mg once/day
Ranitidine,39, Chlorpromazine Hydrochloride, 25-500mg once/day
Haloperidol,44, Hydrochlorothiazide, 15-45mg once/day
Carvedilol,31, Valproic Acid, 10-40mg once/day
Ranitidine,32, Acetaminophen, 10-40mg once/day
Paliperidone,40, Lisinopril Dihydrate, 8-32mg once/day
Candesartan,48, Benazepril Hydrochloride, 5-20mg once/day
Thioridazine,58, Ranitidine Hydrochloride, 10mg once/day
Venlafaxine,25, Captopril, 75-300mg once/day
Telmisartan,27, Diltiazem Hydrochloride, 5-10mg 2-3 times/day
Olanzapine,43, Trazodone Hydrochloride, 0.2-0.3g before each meal
Montelukast,85, Verapamil Hydrochloride, 25-1000mg/day
Acarbose,87, Alprazolam, 150-300mg 2-3 times/day
Duloxetine,51, Olanzapine, 40-320mg 2-3 times/day
Isradipine,70, Venlafaxine Hydrochloride, 10-30mg 2-3 times/day
Metformin,72, Duloxetine Hydrochloride, 25-100mg once/day
Doxycycline,56, Nifedipine, 6.25-50mg 2-3 times/day
Repaglinide,58, Verapamil Hydrochloride, 2.5-20mg once/day
Hydrochlorothiazide,59, Simvastatin, 10-30mg 2-3 times/day
Enalapril,41, Metformin Hydrochloride, 600-1800mg/day
Diltiazem,46, Ranitidine Hydrochloride, 2-6mg once/day
Enalapril,66, Furosemide, 0.2-0.3g before each meal
Enalapril,95, Voglibose, 100mg every 12 hours (up to 200mg/day)
Valsartan,43, Hydrochlorothiazide, 2.5-10mg once/day
Nateglinide,56, Clopidogrel Bisulfate, 0.5-2mg 2-3 times/day
Pregabalin,52, Repaglinide, 75-150mg 2-3 times/day
Duloxetine,28, Lercanidipine Hydrochloride, 0.5-4mg before each meal
Glyburide,95, Lamotrigine, 10-30mg 2-3 times/day
Valsartan,39, Lercanidipine Hydrochloride, 10-40mg once/day
Telmisartan,93, Amoxicillin Trihydrate, 2.5-10mg once/day
Aspirin,56, Lercanidipine Hydrochloride, 2.5-20mg once/day with meal
Procardia,35, Lercanidipine Hydrochloride, 150-300mg once/day
Alprazolam,30, Rosiglitazone Maleate, 25-1000mg/day
Metformin,53, Pioglitazone Hydrochloride, 5-10mg once/day
Metformin,51, Montelukast Sodium, 1-4mg once/day
Amoxicillin,38, Haloperidol, 5-30mg once/day
Acarbose,84, Valsartan, 5-10mg once/day
Azithromycin,77, Pantoprazole Sodium, 0.5-4mg before each meal
Verapamil,39, Lercanidipine Hydrochloride, 5-10mg once/day
Enalapril,61, Ziprasidone Hydrochloride, 25-500mg once/day
Fluphenazine,35, Paliperidone, 10-30mg 2-3 times/day
Procardia,17, Pregabalin, 500mg every 4-6 hours (up to 4g/day)
Glibenclamide,49, Furosemide, 5-10mg once/day
Levothyroxine,60, Warfarin Sodium, 500-2000mg/day
Carvedilol,40, Amlodipine Besylate, 5-40mg once/day
Alprazolam,53, Benazepril Hydrochloride, 325-650mg every 4-6 hours (up to 4g/day)
Glibenclamide,19, Captopril, 10-30mg 2-3 times/day
Montelukast,74, Haloperidol, 40-320mg once/day
Glimepiride,77, Omeprazole, 5-10mg 2-3 times/day
Furosemide,59, Lisinopril, 12.5-150mg 3 times/day
Alprazolam,54, Pioglitazone Hydrochloride, 5-40mg once/day
Carvedilol,46, Lisinopril Dihydrate, 10-30mg 2-3 times/day
Plendil,10, Telmisartan, 10-40mg once/day
Acarbose,50, Cetirizine Hydrochloride, 4-8mg once/day
Voglibose,83, Miglitol, 10mg once/day
Candesartan,56, Pregabalin, 5-40mg once/day
Captopril,59, Benazepril Hydrochloride, 250-500mg every 8 hours (up to 3g/day)
Valsartan,78, Amlodipine Besylate, 5-10mg once/day
Haloperidol,50, Captopril, 500-3000mg/day
Verapamil,73, Amoxicillin Trihydrate, 20mg once/day
Fluoxetine,94, Valsartan, 10mg once/day
Haloperidol,78, Lercanidipine Hydrochloride, 5-10mg once/day
Amlodipine,69, Doxycycline Hyclate, 25-100mg before each meal
Clopidogrel,75, Metoprolol Tartrate, 10-20mg once/day
Alprazolam,68, Metformin Hydrochloride, 500-3000mg/day
Amlodipine,80, Atorvastatin Calcium, 500mg every 4-6 hours (up to 4g/day)
Verapamil,47, Benazepril Hydrochloride, 20mg once/day
Valproic Acid,41, Voglibose, 10-30mg 2-3 times/day
Repaglinide,46, Diltiazem Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Warfarin,51, Pioglitazone Hydrochloride, 8-32mg once/day
Quetiapine,66, Lamotrigine, 0.2-0.3g before each meal
Carvedilol,70, Furosemide, 10-30mg 2-3 times/day
Duloxetine,40, Omeprazole, 150-300mg once/day
Lercanidipine,40, Voglibose, 2.5-20mg once/day with meal
Pantoprazole,60, Olanzapine, 2.5-20mg once/day with meal
Captopril,45, Amlodipine Besylate, 10-40mg once/day
Glibenclamide,34, Quetiapine Fumarate, 50-450mg 2-3 times/day
Olanzapine,58, Pioglitazone Hydrochloride, 10-80mg once/day
Metoprolol,46, Fluoxetine Hydrochloride, 600-1800mg/day
Haloperidol,48, Lamotrigine, 150-300mg once/day
Pioglitazone,62, Ziprasidone Hydrochloride, 10-20mg once/day
Metformin,57, Pregabalin, 1-100mg/day
Pantoprazole,39, Candesartan Cilexetil, 12.5-150mg 3 times/day
Glyburide,63, Venlafaxine Hydrochloride, 0.25-2mg 2-3 times/day
Nisoldipine,87, Lamotrigine, 10-40mg once/day
Aripiprazole,17, Verapamil Hydrochloride, 500-3000mg/day
Felodipine,65, Pioglitazone Hydrochloride, 2.5-20mg once/day
Captopril,42, Atorvastatin Calcium, 500mg every 4-6 hours (up to 4g/day)
Lisinopril,37, Felodipine, 40-60mg once/day
Glibenclamide,87, Captopril, 5-10mg once/day
Ranitidine,52, Irbesartan, 250-500mg every 8 hours (up to 3g/day)
Carvedilol,61, Azithromycin, 25-100mg before each meal
Rosiglitazone,34, Pantoprazole Sodium, 10mg once/day
Azithromycin,39, Acetaminophen, 150-300mg once/day
Repaglinide,64, Losartan Potassium, 10-80mg 2-3 times/day
Lisinopril,72, Verapamil Hydrochloride, 25-500mg once/day
Warfarin,57, Isradipine, 4-8mg once/day
Amoxicillin,31, Azithromycin, 2.5-10mg once/day
Alprazolam,62, Voglibose, 25-500mg once/day
Thioridazine,52, Cetirizine Hydrochloride, 80-120mg 2-3 times/day
Nisoldipine,33, Irbesartan, 1-100mg/day
Benazepril,88, Aripiprazole, 150-300mg once/day
Atorvastatin,68, Nifedipine, 12.5-25mg once/day
Losartan,57, Lithium Carbonate, 4-8mg once/day
Acarbose,49, Acarbose, 500-3000mg/day
Lercanidipine,47, Venlafaxine Hydrochloride, 500mg every 4-6 hours (up to 4g/day)
Enalapril,56, Furosemide, 500-3000mg/day
Repaglinide,50, Enalapril Maleate, 25-100mg before each meal
Montelukast,83, Acetylsalicylic Acid, 2.5-20mg once/day
Propranolol,37, Lercanidipine Hydrochloride, 50-450mg 2-3 times/day
Benazepril,46, Alprazolam, 40-320mg once/day
